muni_id,type_of_violence,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best_est,year,month
484010023,2,0,0,0,0,0,2010,3
484010024,2,0,0,0,1,1,2007,7
484010032,2,0,0,0,1,1,2007,8
484010034,2,0,0,0,2,2,2007,11
484010034,2,0,0,0,3,3,2007,6
484010034,2,0,0,0,2,2,2007,8
484010038,2,0,0,0,4,4,2008,5
484011004,2,0,14,0,0,14,2009,6
484011007,2,0,2,0,0,2,2009,1
484011014,2,0,0,0,1,1,2007,10
484011014,2,0,1,0,2,3,2007,9
484011020,2,0,0,0,1,1,2007,11
484011023,2,0,0,0,1,1,2007,8
484012001,2,0,1,0,0,1,1995,1
484012001,2,4,0,0,0,4,2005,5
484012001,2,0,0,0,335,335,2006,1
484012001,2,0,0,0,10,10,2006,6
484012001,2,0,0,0,1,1,2006,7
484012001,2,0,0,0,3,3,2007,10
484012001,2,0,0,0,1,1,2007,11
484012001,2,0,0,0,2,2,2007,6
484012001,2,0,0,0,5,5,2007,7
484012001,2,0,0,0,1,1,2007,8
484012001,2,0,0,0,1,1,2007,9
484012001,2,0,0,0,5,5,2009,10
484012001,2,0,0,0,2,2,2009,4
484012001,2,0,0,0,29,29,2010,10
484012001,2,0,0,0,17,17,2010,11
484012001,2,0,0,0,18,18,2010,12
484012001,2,0,0,0,1,1,2010,2
484012001,2,0,0,0,8,8,2010,3
484012001,2,0,0,0,0,0,2010,4
484012001,2,0,0,0,6,6,2010,5
484012001,2,0,0,0,1,1,2010,9
484012003,2,0,0,0,1,1,2007,8
484012006,2,0,0,0,1,1,2010,5
484012007,2,0,0,0,4,4,2008,10
484012007,2,0,0,0,4,4,2008,9
484012011,1,3,2,0,0,5,1997,2
484012011,1,0,0,0,3,3,1998,11
484012011,2,0,0,0,2,2,2007,7
484012018,2,0,0,0,2,2,2007,7
484012021,3,0,0,17,0,17,1995,6
484012021,1,1,0,0,0,1,1996,8
484012021,1,0,1,0,0,1,1996,9
484012022,2,0,0,0,3,3,2009,8
484012022,2,0,0,0,3,3,2010,6
484012029,2,0,0,0,4,4,2010,1
484012029,2,0,0,0,9,9,2010,7
484012032,1,2,0,0,0,2,1996,8
484012032,1,0,0,0,0,0,1996,9
484012032,2,0,0,0,1,1,2007,3
484012032,2,0,0,0,5,5,2007,6
484012032,2,0,0,0,2,2,2007,8
484012032,2,0,0,0,1,1,2007,9
484012032,2,9,0,0,16,25,2009,10
484012032,3,0,0,0,0,0,2009,2
484012032,2,0,0,0,3,3,2010,1
484012032,2,0,0,0,11,11,2010,3
484012035,2,0,0,0,2,2,2007,4
484012038,2,0,0,0,5,5,2009,4
484012042,2,0,0,0,7,7,2009,5
484012045,1,2,2,0,0,4,1997,5
484012048,2,0,0,0,7,7,2006,4
484012050,2,0,0,0,2,2,2009,4
484012050,2,0,0,0,1,1,2010,2
484012051,2,0,0,0,3,3,2010,1
484012053,2,0,0,0,3,3,2010,4
484012055,2,0,0,0,1,1,2010,5
484012057,2,0,0,0,2,2,2007,10
484012057,2,0,0,0,1,1,2007,8
484012057,2,0,0,0,6,6,2010,5
484012060,2,0,0,0,1,1,2010,5
484012061,1,0,0,1,0,1,1996,7
484012064,1,1,0,0,0,1,1998,7
484013015,2,0,0,0,1,1,2007,11
484013015,2,0,0,0,3,3,2007,12
484013022,2,0,0,0,1,1,2007,11
484013068,2,0,0,0,1,1,2007,9
484013075,2,0,0,0,1,1,2007,9
484014023,3,0,0,0,6,6,2008,7
484014039,2,0,0,0,3,3,2007,7
484014039,2,0,0,0,5,5,2009,3
484014091,2,0,0,0,1,1,2007,7
484014098,2,0,0,0,1,1,2007,7
484014100,2,0,0,0,1,1,2007,6
484014101,2,0,0,0,1,1,2007,7
484014101,2,0,0,0,1,1,2007,8
484014114,2,0,0,0,2,2,2007,11
484014114,2,0,0,0,1,1,2007,5
484014114,2,0,0,0,1,1,2007,8
484014120,2,0,0,0,1,1,2005,1
